row,reason
4189,'int' object has no attribute 'strip'
4190,'int' object has no attribute 'strip'
4191,'int' object has no attribute 'strip'
4192,'int' object has no attribute 'strip'
4193,'int' object has no attribute 'strip'
4194,'int' object has no attribute 'strip'
4195,'int' object has no attribute 'strip'
4196,'int' object has no attribute 'strip'
4197,'int' object has no attribute 'strip'
4198,'int' object has no attribute 'strip'
4199,'int' object has no attribute 'strip'
4200,'int' object has no attribute 'strip'
4201,'int' object has no attribute 'strip'
4202,'int' object has no attribute 'strip'
4203,'int' object has no attribute 'strip'
4204,'int' object has no attribute 'strip'
4205,'int' object has no attribute 'strip'
4206,'int' object has no attribute 'strip'
4207,'int' object has no attribute 'strip'
4208,'int' object has no attribute 'strip'
4209,'int' object has no attribute 'strip'
4210,'int' object has no attribute 'strip'
4211,'int' object has no attribute 'strip'
4212,'int' object has no attribute 'strip'
4213,'int' object has no attribute 'strip'
4214,'int' object has no attribute 'strip'
4215,'int' object has no attribute 'strip'
4216,'int' object has no attribute 'strip'
4217,'int' object has no attribute 'strip'
4218,'int' object has no attribute 'strip'
4219,'int' object has no attribute 'strip'
4220,'int' object has no attribute 'strip'
4221,'int' object has no attribute 'strip'
4223,'int' object has no attribute 'strip'
4224,'int' object has no attribute 'strip'
4225,'int' object has no attribute 'strip'
4226,'int' object has no attribute 'strip'
4227,'int' object has no attribute 'strip'
4228,'int' object has no attribute 'strip'
4229,'int' object has no attribute 'strip'
4230,'int' object has no attribute 'strip'
4231,'int' object has no attribute 'strip'
4232,'int' object has no attribute 'strip'
4233,'int' object has no attribute 'strip'
4234,'int' object has no attribute 'strip'
4235,'int' object has no attribute 'strip'
4236,'int' object has no attribute 'strip'
4237,'int' object has no attribute 'strip'
4238,'int' object has no attribute 'strip'
4239,'int' object has no attribute 'strip'
4240,'int' object has no attribute 'strip'
4241,'int' object has no attribute 'strip'
4242,'int' object has no attribute 'strip'
4243,'int' object has no attribute 'strip'
4244,'int' object has no attribute 'strip'
4245,'int' object has no attribute 'strip'
4246,'int' object has no attribute 'strip'
4247,'int' object has no attribute 'strip'
4248,'int' object has no attribute 'strip'
4249,'int' object has no attribute 'strip'
4250,'int' object has no attribute 'strip'
4251,'int' object has no attribute 'strip'
4252,'int' object has no attribute 'strip'
4253,'int' object has no attribute 'strip'
4254,'int' object has no attribute 'strip'
4255,'int' object has no attribute 'strip'
