row,reason
321,missing base/program/year
322,missing base/program/year
323,missing base/program/year
324,missing base/program/year
325,missing base/program/year
326,missing base/program/year
327,missing base/program/year
328,missing base/program/year
329,missing base/program/year
330,missing base/program/year
331,missing base/program/year
332,missing base/program/year
333,missing base/program/year
334,missing base/program/year
335,missing base/program/year
336,missing base/program/year
337,missing base/program/year
338,missing base/program/year
339,missing base/program/year
340,missing base/program/year
341,missing base/program/year
342,missing base/program/year
343,missing base/program/year
344,missing base/program/year
345,missing base/program/year
346,missing base/program/year
347,missing base/program/year
348,missing base/program/year
349,missing base/program/year
350,missing base/program/year
351,missing base/program/year
352,missing base/program/year
353,missing base/program/year
354,missing base/program/year
355,missing base/program/year
356,missing base/program/year
357,missing base/program/year
358,missing base/program/year
359,missing base/program/year
360,missing base/program/year
361,missing base/program/year
362,missing base/program/year
363,missing base/program/year
364,missing base/program/year
365,missing base/program/year
366,missing base/program/year
367,missing base/program/year
368,missing base/program/year
369,missing base/program/year
370,missing base/program/year
371,missing base/program/year
372,missing base/program/year
373,missing base/program/year
374,missing base/program/year
375,missing base/program/year
376,missing base/program/year
377,missing base/program/year
378,missing base/program/year
379,missing base/program/year
380,missing base/program/year
381,missing base/program/year
382,missing base/program/year
383,missing base/program/year
384,missing base/program/year
385,missing base/program/year
386,missing base/program/year
387,missing base/program/year
388,missing base/program/year
389,missing base/program/year
390,missing base/program/year
391,missing base/program/year
392,missing base/program/year
393,missing base/program/year
394,missing base/program/year
395,missing base/program/year
396,missing base/program/year
397,missing base/program/year
398,missing base/program/year
399,missing base/program/year
400,missing base/program/year
401,missing base/program/year
402,missing base/program/year
403,missing base/program/year
404,missing base/program/year
405,missing base/program/year
406,missing base/program/year
407,missing base/program/year
408,missing base/program/year
409,missing base/program/year
410,missing base/program/year
411,missing base/program/year
412,missing base/program/year
413,missing base/program/year
414,missing base/program/year
415,missing base/program/year
416,missing base/program/year
417,missing base/program/year
418,missing base/program/year
419,missing base/program/year
420,missing base/program/year
421,missing base/program/year
422,missing base/program/year
423,missing base/program/year
424,missing base/program/year
425,missing base/program/year
426,missing base/program/year
427,missing base/program/year
428,missing base/program/year
429,missing base/program/year
430,missing base/program/year
431,missing base/program/year
432,missing base/program/year
433,missing base/program/year
434,missing base/program/year
435,missing base/program/year
436,missing base/program/year
437,missing base/program/year
438,missing base/program/year
439,missing base/program/year
440,missing base/program/year
441,missing base/program/year
442,missing base/program/year
443,missing base/program/year
444,missing base/program/year
445,missing base/program/year
446,missing base/program/year
447,missing base/program/year
448,missing base/program/year
449,missing base/program/year
450,missing base/program/year
451,missing base/program/year
452,missing base/program/year
453,missing base/program/year
454,missing base/program/year
455,missing base/program/year
456,missing base/program/year
457,missing base/program/year
458,missing base/program/year
459,missing base/program/year
460,missing base/program/year
461,missing base/program/year
462,missing base/program/year
463,missing base/program/year
464,missing base/program/year
465,missing base/program/year
466,missing base/program/year
467,missing base/program/year
468,missing base/program/year
469,missing base/program/year
470,missing base/program/year
471,missing base/program/year
472,missing base/program/year
473,missing base/program/year
474,missing base/program/year
475,missing base/program/year
476,missing base/program/year
477,missing base/program/year
478,missing base/program/year
479,missing base/program/year
480,missing base/program/year
481,missing base/program/year
482,missing base/program/year
483,missing base/program/year
484,missing base/program/year
485,missing base/program/year
486,missing base/program/year
487,missing base/program/year
488,missing base/program/year
489,missing base/program/year
490,missing base/program/year
491,missing base/program/year
492,missing base/program/year
493,missing base/program/year
494,missing base/program/year
495,missing base/program/year
496,missing base/program/year
497,missing base/program/year
498,missing base/program/year
499,missing base/program/year
500,missing base/program/year
501,missing base/program/year
502,missing base/program/year
503,missing base/program/year
504,missing base/program/year
505,missing base/program/year
506,missing base/program/year
507,missing base/program/year
508,missing base/program/year
509,missing base/program/year
510,missing base/program/year
511,missing base/program/year
512,missing base/program/year
513,missing base/program/year
514,missing base/program/year
515,missing base/program/year
516,missing base/program/year
517,missing base/program/year
518,missing base/program/year
519,missing base/program/year
520,missing base/program/year
521,missing base/program/year
522,missing base/program/year
523,missing base/program/year
524,missing base/program/year
525,missing base/program/year
526,missing base/program/year
527,missing base/program/year
528,missing base/program/year
529,missing base/program/year
530,missing base/program/year
531,missing base/program/year
532,missing base/program/year
533,missing base/program/year
534,missing base/program/year
535,missing base/program/year
536,missing base/program/year
537,missing base/program/year
538,missing base/program/year
539,missing base/program/year
540,missing base/program/year
541,missing base/program/year
542,missing base/program/year
543,missing base/program/year
544,missing base/program/year
545,missing base/program/year
546,missing base/program/year
547,missing base/program/year
548,missing base/program/year
549,missing base/program/year
550,missing base/program/year
551,missing base/program/year
552,missing base/program/year
553,missing base/program/year
554,missing base/program/year
555,missing base/program/year
556,missing base/program/year
557,missing base/program/year
558,missing base/program/year
559,missing base/program/year
560,missing base/program/year
561,missing base/program/year
562,missing base/program/year
563,missing base/program/year
564,missing base/program/year
565,missing base/program/year
566,missing base/program/year
567,missing base/program/year
568,missing base/program/year
569,missing base/program/year
570,missing base/program/year
571,missing base/program/year
572,missing base/program/year
573,missing base/program/year
574,missing base/program/year
575,missing base/program/year
576,missing base/program/year
577,missing base/program/year
578,missing base/program/year
579,missing base/program/year
580,missing base/program/year
581,missing base/program/year
582,missing base/program/year
583,missing base/program/year
584,missing base/program/year
585,missing base/program/year
586,missing base/program/year
587,missing base/program/year
588,missing base/program/year
589,missing base/program/year
590,missing base/program/year
591,missing base/program/year
592,missing base/program/year
593,missing base/program/year
594,missing base/program/year
595,missing base/program/year
596,missing base/program/year
597,missing base/program/year
598,missing base/program/year
599,missing base/program/year
600,missing base/program/year
601,missing base/program/year
602,missing base/program/year
603,missing base/program/year
604,missing base/program/year
605,missing base/program/year
606,missing base/program/year
607,missing base/program/year
608,missing base/program/year
609,missing base/program/year
610,missing base/program/year
611,missing base/program/year
612,missing base/program/year
613,missing base/program/year
614,missing base/program/year
615,missing base/program/year
616,missing base/program/year
617,missing base/program/year
618,missing base/program/year
619,missing base/program/year
620,missing base/program/year
621,missing base/program/year
622,missing base/program/year
623,missing base/program/year
624,missing base/program/year
625,missing base/program/year
626,missing base/program/year
627,missing base/program/year
628,missing base/program/year
629,missing base/program/year
630,missing base/program/year
631,missing base/program/year
632,missing base/program/year
633,missing base/program/year
634,missing base/program/year
635,missing base/program/year
636,missing base/program/year
637,missing base/program/year
638,missing base/program/year
639,missing base/program/year
640,missing base/program/year
641,missing base/program/year
642,missing base/program/year
643,missing base/program/year
644,missing base/program/year
645,missing base/program/year
646,missing base/program/year
647,missing base/program/year
648,missing base/program/year
649,missing base/program/year
650,missing base/program/year
651,missing base/program/year
652,missing base/program/year
653,missing base/program/year
654,missing base/program/year
655,missing base/program/year
656,missing base/program/year
657,missing base/program/year
658,missing base/program/year
659,missing base/program/year
660,missing base/program/year
661,missing base/program/year
662,missing base/program/year
663,missing base/program/year
664,missing base/program/year
665,missing base/program/year
666,missing base/program/year
